Индекс,Доходность,GARCH sigma,VaR 95% GARCH-t,ES 95% GARCH-t,Exception 95% GARCH-t,VaR 99% GARCH-t,ES 99% GARCH-t,Exception 99% GARCH-t,VaR 95% GARCH-normal,Exception 95% GARCH-normal,VaR 95% Historical,Exception 95% Historical,VaR 99% Historical,Exception 99% Historical
2025-07-28,-0.649741331759488,0.6737058707145861,-1.0510977892159725,-1.436177176020599,0,-1.6606811552720242,-2.072493140116485,0,-1.0754603277255084,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-07-29,0.9770307225420496,0.6752059244769993,-1.0535109131729061,-1.4394477064632314,0,-1.664451559700311,-2.0771804730504084,0,-1.077927696597236,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-07-30,-1.127688069242988,0.6909532120506678,-1.078843443148104,-1.4737811314970881,1,-1.7040325695874141,-2.126387229177114,0,-1.1038296796774325,1,-1.2080941913778063,0,-1.7478223970656872,0
2025-07-31,0.36039459550739766,0.7201227940344621,-1.1257683060180792,-1.5373788559702324,0,-1.777350689136701,-2.217535657138421,0,-1.1518093724001348,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-08-01,1.71109593470523,0.7072904849179524,-1.105125077536715,-1.5094008870024425,0,-1.7450965150995015,-2.177437557558755,0,-1.1307021022076813,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-08-04,0.4268920531124475,0.7795802410313152,-1.221417004325659,-1.6670124699892215,0,-1.9267977470147524,-2.403326897731679,0,-1.2496081697421835,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-08-05,0.19332653839004602,0.7657239368146626,-1.1991264834806117,-1.636801909609017,0,-1.891969748120828,-2.360029042198364,0,-1.2268165774952795,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-08-06,-0.3955309923562402,0.7484852958658097,-1.1713948257887368,-1.599216923373503,0,-1.8486402023406583,-2.3061621399043815,0,-1.1984615364068447,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-08-07,0.3359370437744975,0.7368393293874708,-1.152660056799315,-1.5738255081751513,0,-1.8193679157854303,-2.2697710960704174,0,-1.1793056262055936,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-08,-0.22816527049616067,0.7228112050664144,-1.1300931303876083,-1.5432403326336845,0,-1.7841080448488196,-2.2259363410910544,0,-1.1562314150367778,0,-1.1610133408531866,0,-1.7478223970656872,0
